Model,Accuracy,Precision,Recall,F1 Score
svc,0.969512195,0.975011217,0.96879776,0.970322498
rf,1,1,1,1
gb,0.990853659,0.989894208,0.991308488,0.989869931
knn,0.991869919,0.99351719,0.993065519,0.992782705
dt,0.981707317,0.98902439,0.982439024,0.979199449
ada,0.055894309,0.036980883,0.073170732,0.041428819
et,1,1,1,1
lr,0.968495935,0.974834989,0.965135803,0.964461244
,,,,
,,,,
,,,,
,,,,
,,,,
Model,Accuracy,Precision,Recall,F1 Score
svc,0.969512195,0.975011217,0.96879776,0.970322498
rf,1,1,1,1
gb,0.990853659,0.989894208,0.991308488,0.989869931
knn,0.991869919,0.99351719,0.993065519,0.992782705
dt,0.981707317,0.98902439,0.982439024,0.979199449
et,1,1,1,1
lr,0.968495935,0.974834989,0.965135803,0.964461244
